method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
leiden,0.7,0.8155049954364708,0.28354530575008724,0.08154042615325541,0.12665740150446855,260,27282,5156,1090
eigenvector,0.7,0.8507577180716854,0.1651144382730956,0.0727227347496075,0.10097305938562069,184,28547,3891,1166
louvain,0.7,0.8228861212194564,0.2363022887654619,0.06884140785324123,0.10662112583557444,230,27566,4872,1120
greedy_modularity,0.7,0.8783019076472445,0.17067267702379996,0.06296251727747114,0.09198940603140793,142,29512,2926,1208
label_propagation,0.7,0.7647848459524996,0.3186133247471088,0.044846978408387424,0.07862671533317377,290,25540,6898,1060
surprise_communities,0.7,0.8385665122819642,0.1534572969492071,0.03940958411392481,0.06271360037222462,186,28131,4307,1164
walktrap,0.7,0.8424051890655617,0.14044916686790632,0.0398339622498244,0.06206511766702233,174,28275,4163,1176
infomap,0.7,0.9446910810501967,0.30000000000000004,0.0072168622559376835,0.014094660435517551,3,6974,401,7
leiden,0.75,0.8751016168253789,0.18129276342268374,0.09217763979380683,0.12221533919172048,225,29332,3106,1125
eigenvector,0.75,0.8802649373147436,0.11542837210550323,0.07044205781623047,0.08749118474534147,145,29580,2858,1205
louvain,0.75,0.8820456927564472,0.18469907966406401,0.09037835764944448,0.12136800198830605,193,29600,2838,1157
greedy_modularity,0.75,0.9201749990007223,0.1436059459604497,0.07279008388227862,0.09661072673146702,79,30988,1450,1271
label_propagation,0.75,0.830245127460399,0.22625506453084332,0.04199923318850615,0.07084724678113492,229,27805,4633,1121
surprise_communities,0.75,0.8639218365611956,0.11296922375164346,0.04087832099350666,0.06003335572961798,154,29019,3419,1196
walktrap,0.75,0.8790819471291944,0.09257559902331697,0.04152356270707566,0.05733173334697384,124,29567,2871,1226
infomap,0.75,0.9882071371959149,0.2,0.025568181818181816,0.04534005037783375,2,7296,79,8
leiden,0.8,0.9212236283019306,0.14920174944323705,0.09936052724372355,0.11928410608369412,188,30914,1524,1162
eigenvector,0.8,0.8980089995837877,0.0745847755507258,0.06415744885885713,0.06897927351832939,94,30231,2207,1256
louvain,0.8,0.9230159140302424,0.1349808151546862,0.11109189097809545,0.12187677566489113,154,31017,1421,1196
greedy_modularity,0.8,0.9352954484242834,0.12773484665539725,0.07078171025426978,0.09108853232277304,39,31541,897,1311
label_propagation,0.8,0.8782467707338237,0.1331777080147039,0.04762102410183295,0.07015601015506244,121,29542,2896,1229
surprise_communities,0.8,0.8873706292204763,0.08849848399474095,0.044902105063462504,0.05957647195328702,127,29840,2598,1223
walktrap,0.8,0.9049939251115428,0.07780460972926559,0.043797819462529156,0.0560461213303599,88,30477,1961,1262
infomap,0.8,0.9933576077735712,0.0,0.0,nan,0,7336,39,10
leiden,0.85,0.9365985593017352,0.09535807239260513,0.09682914479789367,0.09608797852772141,134,31489,949,1216
eigenvector,0.85,0.9220627781269862,0.057298290804690226,0.07834686567577395,0.06618948452867215,40,31107,1331,1310
louvain,0.85,0.9360966679336475,0.08738227481284715,0.10323949867339592,0.0946513305340778,105,31507,931,1245
greedy_modularity,0.85,0.9473246573285335,0.1206646274383536,0.0979716172083856,0.10814042940669538,31,31958,480,1319
label_propagation,0.85,0.9138474419658742,0.09986584024256084,0.05286959472474692,0.06913741400743896,53,30816,1622,1297
surprise_communities,0.85,0.9034287671277524,0.07266763261692023,0.04467667102064966,0.055333711405419005,96,30414,2024,1254
walktrap,0.85,0.923265858341581,0.039751536129222685,0.04348483633557006,0.04153446363602417,56,31124,1314,1294
infomap,0.85,0.9947133267527715,0.0,0.0,nan,0,7346,29,10
leiden,0.9,0.9464043882682438,0.026201400627867667,0.08178910466829264,0.03968847247323201,51,31906,532,1299
eigenvector,0.9,0.9281555481888455,0.0515629611741662,0.09368831437299391,0.0665171014614503,28,31325,1113,1322
louvain,0.9,0.9478639288112439,0.04512329281708659,0.08561129107448211,0.05909780320724795,40,31967,471,1310
greedy_modularity,0.9,0.9553037486872343,0.09518232311035983,0.1263624138588617,0.10857823362863385,27,32234,204,1323
label_propagation,0.9,0.9302766891947248,0.08325015428372105,0.05103516505087097,0.06327847877092117,28,31396,1042,1322
surprise_communities,0.9,0.9135280286662137,0.06665727548364592,0.04682593274026367,0.05500882724936589,83,30768,1670,1267
walktrap,0.9,0.934723665937704,0.0307561243929271,0.04316450564837721,0.03591887418543083,41,31525,913,1309
infomap,0.9,0.9955305427702054,0.0,0.0,nan,0,7352,23,10
leiden,0.95,0.9559016066643645,0.020150795567361615,0.11878592867309035,0.03445641860431495,29,32252,186,1321
eigenvector,0.95,0.9443582266123955,0.04288282486785264,0.1104803015914127,0.06178417894669708,23,31874,564,1327
louvain,0.95,0.956287727527686,0.04099788027583247,0.11944397535728807,0.06104329549223547,25,32269,169,1325
greedy_modularity,0.95,0.9573734426308401,0.08650218680404625,0.16444315918000132,0.1133688518370868,22,32309,129,1328
label_propagation,0.95,0.9476861920602437,0.049362741152164,0.053504437193612954,0.05135021152816445,20,31986,452,1330
surprise_communities,0.95,0.9205857083619038,0.06009686334487106,0.04535718805612753,0.05169691815730282,68,31021,1417,1282
walktrap,0.95,0.942693393526087,0.025845877270653895,0.0464719258197519,0.03321748283107309,32,31803,635,1318
infomap,0.95,0.9964760768115579,0.0,0.0,nan,0,7359,16,10
leiden,1,0.9572321308013978,0.014690493439587862,0.12200435729847496,0.026223434179372656,18,32308,130,1332
eigenvector,1,0.9571137073807405,0.012255493842067132,0.11764705882352941,0.022198529210749333,18,32304,134,1332
louvain,1,0.957411220103274,0.036637688159059816,0.12861422346716464,0.05702963149821531,18,32314,124,1332
greedy_modularity,1,0.95827398382119,0.08025705009525344,0.15508750508750507,0.10577568412653578,17,32344,94,1333
label_propagation,1,0.9530115763810476,0.018460382623628216,0.04783088862785258,0.02663929922081808,14,32169,269,1336
surprise_communities,1,0.9257794099204596,0.050316617027556416,0.044796063136005454,0.047396127399217954,59,31205,1233,1291
walktrap,1,0.9463434939697533,0.024745767259652794,0.04983920147854574,0.03307125553740158,28,31930,508,1322
infomap,1,0.9968846848202748,0.0,0.0,nan,0,7362,13,10
