method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
surprise_communities,0.7,0.7252729465481917,0.6000000000000001,0.08298974452635911,0.1458114038018143,93,2606,944,78
walktrap,0.7,0.833052815951355,0.3866666666666667,0.04621899768789783,0.08256843431994972,24,3066,484,147
df_node_similarity,0.7,0.9559070627544117,0.6533333333333333,0.7414562289562289,0.6946109759949145,24,3522,28,147
leiden,0.75,0.954418921485826,0.7422222222222223,0.48390652557319225,0.5858539364720906,64,3482,68,107
eigenvector,0.75,0.9500540488510134,0.6377777777777778,0.45697019030352354,0.5324429749675961,44,3485,65,127
louvain,0.75,0.949951912372435,0.7377777777777778,0.4173793163989242,0.5331451212922256,62,3467,83,109
greedy_modularity,0.75,0.9421425627905313,0.7044444444444444,0.332506968149383,0.4517717679095295,47,3452,98,124
label_propagation,0.75,0.9623739913903984,0.5288888888888889,0.898148148148148,0.6657438648095279,22,3547,3,149
infomap,0.75,0.9620736910900981,0.5288888888888889,0.8796296296296295,0.6605895930113652,22,3546,4,149
surprise_communities,0.75,0.7274464354036516,0.5733333333333335,0.08097240364819344,0.14190362537793738,90,2616,934,81
walktrap,0.75,0.8472384582398441,0.38222222222222224,0.0485229221315685,0.08611374669663525,22,3121,429,149
df_node_similarity,0.75,0.9556669863708814,0.6077777777777779,0.7306036556036555,0.6635547313552125,21,3524,26,150
leiden,0.8,0.9564422048517689,0.7333333333333333,0.5065268065268066,0.599185310522028,60,3493,57,111
eigenvector,0.8,0.9522134120402455,0.6133333333333333,0.466931216931217,0.5302117516448711,42,3494,56,129
louvain,0.8,0.952820053617055,0.7333333333333333,0.4389271948095478,0.5491611039233126,60,3479,71,111
greedy_modularity,0.8,0.946399167501516,0.6222222222222222,0.3553289303289303,0.4523416622692652,43,3471,79,128
label_propagation,0.8,0.9616262329587025,0.4244444444444444,0.9629629629629629,0.5891914338257103,17,3549,1,154
infomap,0.8,0.9613259326584023,0.4244444444444444,0.9259259259259258,0.5820686292436155,17,3548,2,154
