type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
rumor:df_node_similarity,3,2,0.5,0.0,2.0,0.013225237528483072,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
jordan:leiden,3,2,0.5,3.0,3.0,0.006476481755574544,2.0,18.0,3.0,0,49,54,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
jordan:df_node_similarity,3,2,0.5,0.0,2.0,0.009116729100545248,2.0,18.0,0.0,0,49,54,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:leiden,3,2,0.5,3.0,3.0,0.009781678517659506,2.0,5.666666666666667,3.0,0,49,17,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:df_node_similarity,3,2,0.5,0.0,2.0,0.013003905614217123,2.0,2.3333333333333335,0.0,0,49,7,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble:leiden,3,2,0.5,3.0,3.0,0.019657214482625324,1.0,10.666666666666666,3.0,3,52,29,3,61,0.5,0.9454545454545454,0.09375,0.9016393442622951,0.15789473684210525
ensemble:df_node_similarity,3,2,0.5,0.0,2.0,0.0277099609375,0.3333333333333333,11.333333333333334,0.0,5,54,29,1,61,0.8333333333333334,0.9818181818181818,0.14705882352941177,0.9672131147540983,0.25
ensemble-centralities:leiden,3,2,0.5,3.0,3.0,0.011737982432047525,0.0,5.666666666666667,3.0,6,55,11,0,61,1.0,1.0,0.35294117647058826,1.0,0.5217391304347826
ensemble-centralities:df_node_similarity,3,2,0.5,0.0,2.0,0.018818219502766926,0.0,3.0,0.0,6,55,3,0,61,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:leiden,3,2,0.6,3.0,3.0,0.007934490839640299,0.0,5.0,3.0,6,55,9,0,61,1.0,1.0,0.4,1.0,0.5714285714285715
centrality-cm:betweenness:df_node_similarity,3,2,0.6,0.0,2.0,0.011352618535359701,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
rumor:leiden,3,2,0.6,3.0,3.0,0.009705225626627604,0.0,7.333333333333333,3.0,6,55,16,0,61,1.0,1.0,0.2727272727272727,1.0,0.42857142857142855
rumor:df_node_similarity,3,2,0.6,0.0,2.0,0.012915770212809244,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
jordan:leiden,3,2,0.6,3.0,3.0,0.006379048029581706,2.0,18.0,3.0,0,49,54,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
jordan:df_node_similarity,3,2,0.6,0.0,2.0,0.01044766108194987,1.6666666666666667,18.333333333333332,0.0,1,50,54,5,61,0.16666666666666666,0.9090909090909091,0.01818181818181818,0.8360655737704918,0.032786885245901634
netsleuth-cm:leiden,3,2,0.6,3.0,3.0,0.010473012924194336,1.6666666666666667,6.333333333333333,3.0,1,50,18,5,61,0.16666666666666666,0.9090909090909091,0.05263157894736842,0.8360655737704918,0.08
netsleuth-cm:df_node_similarity,3,2,0.6,0.0,2.0,0.011423428853352865,2.0,2.6666666666666665,0.0,0,49,8,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble:leiden,3,2,0.6,3.0,3.0,0.018893718719482422,0.0,13.666666666666666,3.0,6,55,35,0,61,1.0,1.0,0.14634146341463414,1.0,0.2553191489361702
ensemble:df_node_similarity,3,2,0.6,0.0,2.0,0.0281371275583903,0.3333333333333333,15.0,0.0,5,54,40,1,61,0.8333333333333334,0.9818181818181818,0.1111111111111111,0.9672131147540983,0.19607843137254902
ensemble-centralities:leiden,3,2,0.6,3.0,3.0,0.011953512827555338,0.0,6.0,3.0,6,55,12,0,61,1.0,1.0,0.3333333333333333,1.0,0.5
ensemble-centralities:df_node_similarity,3,2,0.6,0.0,2.0,0.020192464192708332,0.0,3.3333333333333335,0.0,6,55,4,0,61,1.0,1.0,0.6,1.0,0.7499999999999999
centrality-cm:betweenness:leiden,3,2,0.7,3.0,3.0,0.00686796506245931,0.0,5.666666666666667,3.0,6,55,11,0,61,1.0,1.0,0.35294117647058826,1.0,0.5217391304347826
centrality-cm:betweenness:df_node_similarity,3,2,0.7,0.0,2.0,0.010364294052124023,0.0,2.3333333333333335,0.0,6,55,1,0,61,1.0,1.0,0.8571428571428571,1.0,0.923076923076923
rumor:leiden,3,2,0.7,3.0,3.0,0.009481509526570639,0.0,8.0,3.0,6,55,18,0,61,1.0,1.0,0.25,1.0,0.4
rumor:df_node_similarity,3,2,0.7,0.0,2.0,0.04141974449157715,0.0,2.3333333333333335,0.0,6,55,1,0,61,1.0,1.0,0.8571428571428571,1.0,0.923076923076923
jordan:leiden,3,2,0.7,3.0,3.0,0.007104317347208659,1.0,19.333333333333332,3.0,3,52,55,3,61,0.5,0.9454545454545454,0.05172413793103448,0.9016393442622951,0.09375
jordan:df_node_similarity,3,2,0.7,0.0,2.0,0.008464336395263672,0.6666666666666666,19.333333333333332,0.0,4,53,54,2,61,0.6666666666666666,0.9636363636363636,0.06896551724137931,0.9344262295081968,0.125
netsleuth-cm:leiden,3,2,0.7,3.0,3.0,0.01136167844136556,1.6666666666666667,7.0,3.0,1,50,20,5,61,0.16666666666666666,0.9090909090909091,0.047619047619047616,0.8360655737704918,0.07407407407407407
netsleuth-cm:df_node_similarity,3,2,0.7,0.0,2.0,0.03489049275716146,1.6666666666666667,3.6666666666666665,0.0,1,50,10,5,61,0.16666666666666666,0.9090909090909091,0.09090909090909091,0.8360655737704918,0.11764705882352942
ensemble:leiden,3,2,0.7,3.0,3.0,0.021667957305908203,0.0,14.666666666666666,3.0,6,55,38,0,61,1.0,1.0,0.13636363636363635,1.0,0.24000000000000002
ensemble:df_node_similarity,3,2,0.7,0.0,2.0,0.0518037478129069,0.3333333333333333,15.333333333333334,0.0,5,54,41,1,61,0.8333333333333334,0.9818181818181818,0.10869565217391304,0.9672131147540983,0.1923076923076923
ensemble-centralities:leiden,3,2,0.7,3.0,3.0,0.012588262557983398,0.0,7.666666666666667,3.0,6,55,17,0,61,1.0,1.0,0.2608695652173913,1.0,0.41379310344827586
ensemble-centralities:df_node_similarity,3,2,0.7,0.0,2.0,0.041236162185668945,0.0,4.666666666666667,0.0,6,55,8,0,61,1.0,1.0,0.42857142857142855,1.0,0.6
centrality-cm:betweenness:leiden,3,2,0.8,3.0,3.0,0.007504940032958984,0.0,6.0,3.0,6,55,12,0,61,1.0,1.0,0.3333333333333333,1.0,0.5
centrality-cm:betweenness:df_node_similarity,3,2,0.8,0.0,2.0,0.01136159896850586,0.0,3.3333333333333335,0.0,6,55,4,0,61,1.0,1.0,0.6,1.0,0.7499999999999999
rumor:leiden,3,2,0.8,3.0,3.0,0.010207573572794596,0.0,11.333333333333334,3.0,6,55,28,0,61,1.0,1.0,0.17647058823529413,1.0,0.3
rumor:df_node_similarity,3,2,0.8,0.0,2.0,0.014695485432942709,0.0,5.333333333333333,0.0,6,55,10,0,61,1.0,1.0,0.375,1.0,0.5454545454545454
jordan:leiden,3,2,0.8,3.0,3.0,0.005510409673055013,0.6666666666666666,19.666666666666668,3.0,4,53,55,2,61,0.6666666666666666,0.9636363636363636,0.06779661016949153,0.9344262295081968,0.12307692307692307
jordan:df_node_similarity,3,2,0.8,0.0,2.0,0.008952697118123373,0.0,20.0,0.0,6,55,54,0,61,1.0,1.0,0.1,1.0,0.18181818181818182
netsleuth-cm:leiden,3,2,0.8,3.0,3.0,0.010769526163736979,1.6666666666666667,8.0,3.0,1,50,23,5,61,0.16666666666666666,0.9090909090909091,0.041666666666666664,0.8360655737704918,0.06666666666666667
netsleuth-cm:df_node_similarity,3,2,0.8,0.0,2.0,0.01316690444946289,1.3333333333333333,5.0,0.0,2,51,13,4,61,0.3333333333333333,0.9272727272727272,0.13333333333333333,0.8688524590163934,0.19047619047619044
ensemble:leiden,3,2,0.8,3.0,3.0,0.020504315694173176,0.0,17.0,3.0,6,55,45,0,61,1.0,1.0,0.11764705882352941,1.0,0.21052631578947367
ensemble:df_node_similarity,3,2,0.8,0.0,2.0,0.02799646059672038,0.3333333333333333,15.666666666666666,0.0,5,54,42,1,61,0.8333333333333334,0.9818181818181818,0.10638297872340426,0.9672131147540983,0.18867924528301885
ensemble-centralities:leiden,3,2,0.8,3.0,3.0,0.012314160664876303,0.0,10.666666666666666,3.0,6,55,26,0,61,1.0,1.0,0.1875,1.0,0.3157894736842105
ensemble-centralities:df_node_similarity,3,2,0.8,0.0,2.0,0.018591801325480144,0.0,7.0,0.0,6,55,15,0,61,1.0,1.0,0.2857142857142857,1.0,0.4444444444444445
centrality-cm:betweenness:leiden,3,2,0.9,3.0,3.0,0.007570505142211914,0.0,6.333333333333333,3.0,6,55,13,0,61,1.0,1.0,0.3157894736842105,1.0,0.4799999999999999
centrality-cm:betweenness:df_node_similarity,3,2,0.9,0.0,2.0,0.01086727778116862,0.0,4.333333333333333,0.0,6,55,7,0,61,1.0,1.0,0.46153846153846156,1.0,0.631578947368421
rumor:leiden,3,2,0.9,3.0,3.0,0.009348233540852865,0.0,16.0,3.0,6,55,42,0,61,1.0,1.0,0.125,1.0,0.2222222222222222
rumor:df_node_similarity,3,2,0.9,0.0,2.0,0.01431568463643392,0.0,12.333333333333334,0.0,6,55,31,0,61,1.0,1.0,0.16216216216216217,1.0,0.27906976744186046
jordan:leiden,3,2,0.9,3.0,3.0,0.005327145258585612,0.0,20.333333333333332,3.0,6,55,55,0,61,1.0,1.0,0.09836065573770492,1.0,0.1791044776119403
jordan:df_node_similarity,3,2,0.9,0.0,2.0,0.009011507034301758,0.0,20.0,0.0,6,55,54,0,61,1.0,1.0,0.1,1.0,0.18181818181818182
netsleuth-cm:leiden,3,2,0.9,3.0,3.0,0.01098322868347168,1.6666666666666667,8.666666666666666,3.0,1,50,25,5,61,0.16666666666666666,0.9090909090909091,0.038461538461538464,0.8360655737704918,0.0625
netsleuth-cm:df_node_similarity,3,2,0.9,0.0,2.0,0.0124967892964681,1.3333333333333333,6.0,0.0,2,51,16,4,61,0.3333333333333333,0.9272727272727272,0.1111111111111111,0.8688524590163934,0.16666666666666666
ensemble:leiden,3,2,0.9,3.0,3.0,0.01853791872660319,0.0,18.0,3.0,6,55,48,0,61,1.0,1.0,0.1111111111111111,1.0,0.19999999999999998
ensemble:df_node_similarity,3,2,0.9,0.0,2.0,0.026923259099324543,0.3333333333333333,16.666666666666668,0.0,5,54,45,1,61,0.8333333333333334,0.9818181818181818,0.1,0.9672131147540983,0.17857142857142858
ensemble-centralities:leiden,3,2,0.9,3.0,3.0,0.01293476422627767,0.0,19.666666666666668,3.0,6,55,53,0,61,1.0,1.0,0.1016949152542373,1.0,0.18461538461538463
ensemble-centralities:df_node_similarity,3,2,0.9,0.0,2.0,0.0205996036529541,0.0,16.0,0.0,6,55,42,0,61,1.0,1.0,0.125,1.0,0.2222222222222222
centrality-cm:betweenness:leiden,3,3,0.0,1.0,3.3333333333333335,0.006647030512491862,2.0,3.3333333333333335,4.0,6,39,4,3,51,0.6666666666666666,0.9285714285714286,0.6,0.8823529411764706,0.631578947368421
centrality-cm:betweenness:df_node_similarity,3,3,0.0,2.0,2.3333333333333335,0.011114994684855143,1.0,2.3333333333333335,1.0,6,39,1,3,51,0.6666666666666666,0.9285714285714286,0.8571428571428571,0.8823529411764706,0.75
rumor:leiden,3,3,0.0,1.0,3.3333333333333335,0.009232044219970703,2.3333333333333335,3.3333333333333335,4.0,5,38,5,4,51,0.5555555555555556,0.9047619047619048,0.5,0.8431372549019608,0.5263157894736842
