type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
jordan:df_node_similarity,3,4,0.2,6.0,2.0,0.005676666895548503,3.6666666666666665,15.0,0.0,1,44,44,11,67,0.08333333333333333,0.8,0.022222222222222223,0.6716417910447762,0.03508771929824561
netsleuth-cm:leiden,3,4,0.2,3.0,3.0,0.0038788318634033203,3.0,4.0,3.0,1,44,11,11,67,0.08333333333333333,0.8,0.08333333333333333,0.6716417910447762,0.08333333333333333
netsleuth-cm:df_node_similarity,3,4,0.2,6.0,2.0,0.005995432535807292,1.3333333333333333,2.6666666666666665,0.0,1,44,7,11,67,0.08333333333333333,0.8,0.125,0.6716417910447762,0.1
ensemble:leiden,3,4,0.2,3.0,3.0,0.012060165405273438,3.3333333333333335,5.333333333333333,3.0,1,44,15,11,67,0.08333333333333333,0.8,0.0625,0.6716417910447762,0.07142857142857144
ensemble:df_node_similarity,3,4,0.2,6.0,2.0,0.023470958073933918,1.0,3.6666666666666665,0.0,4,47,7,8,67,0.3333333333333333,0.8545454545454545,0.36363636363636365,0.7611940298507462,0.34782608695652173
ensemble-centralities:leiden,3,4,0.2,3.0,3.0,0.005873282750447591,1.0,3.6666666666666665,3.0,6,49,5,6,67,0.5,0.8909090909090909,0.5454545454545454,0.8208955223880597,0.5217391304347826
ensemble-centralities:df_node_similarity,3,4,0.2,6.0,2.0,0.015144030253092447,0.0,2.0,0.0,6,49,0,6,67,0.5,0.8909090909090909,1.0,0.8208955223880597,0.6666666666666666
centrality-cm:betweenness:leiden,3,2,0.30000000000000004,3.0,3.0,0.0025516351064046225,0.0,4.0,1.0,6,55,6,0,61,1.0,1.0,0.5,1.0,0.6666666666666666
centrality-cm:betweenness:df_node_similarity,3,2,0.30000000000000004,0.0,2.0,0.005354086558024089,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
rumor:leiden,3,2,0.30000000000000004,3.0,3.0,0.004145622253417969,0.0,3.6666666666666665,1.0,6,55,5,0,61,1.0,1.0,0.5454545454545454,1.0,0.7058823529411764
rumor:df_node_similarity,3,2,0.30000000000000004,0.0,2.0,0.006284872690836589,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
jordan:leiden,3,2,0.30000000000000004,2.0,2.6666666666666665,0.0024859110514322915,2.0,15.666666666666666,1.0,0,49,47,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
jordan:df_node_similarity,3,2,0.30000000000000004,0.0,2.0,0.004065990447998047,2.0,16.666666666666668,0.0,0,49,50,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:leiden,3,2,0.30000000000000004,2.0,2.6666666666666665,0.0034024715423583984,2.0,4.0,1.0,0,49,12,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:df_node_similarity,3,2,0.30000000000000004,0.0,2.0,0.004596789677937825,2.0,2.3333333333333335,0.0,0,49,7,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble:leiden,3,2,0.30000000000000004,2.0,2.6666666666666665,0.010733922322591146,1.3333333333333333,6.333333333333333,1.0,2,51,17,4,61,0.3333333333333333,0.9272727272727272,0.10526315789473684,0.8688524590163934,0.16
ensemble:df_node_similarity,3,2,0.30000000000000004,0.0,2.0,0.017533381779988606,1.0,3.6666666666666665,0.0,3,52,8,3,61,0.5,0.9454545454545454,0.2727272727272727,0.9016393442622951,0.3529411764705882
ensemble-centralities:leiden,3,2,0.30000000000000004,2.0,2.6666666666666665,0.005387147267659505,0.0,4.333333333333333,1.0,6,55,7,0,61,1.0,1.0,0.46153846153846156,1.0,0.631578947368421
ensemble-centralities:df_node_similarity,3,2,0.30000000000000004,0.0,2.0,0.011109431584676107,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:leiden,3,3,0.30000000000000004,2.0,3.0,0.002198934555053711,1.0,4.0,2.0,7,40,5,2,51,0.7777777777777778,0.9523809523809523,0.5833333333333334,0.9215686274509803,0.6666666666666666
centrality-cm:betweenness:df_node_similarity,3,3,0.30000000000000004,2.0,2.3333333333333335,0.004588762919108073,0.3333333333333333,3.6666666666666665,1.0,6,39,5,3,51,0.6666666666666666,0.9285714285714286,0.5454545454545454,0.8823529411764706,0.6
rumor:leiden,3,3,0.30000000000000004,2.0,3.0,0.0033319791158040366,1.0,4.0,2.0,7,40,5,2,51,0.7777777777777778,0.9523809523809523,0.5833333333333334,0.9215686274509803,0.6666666666666666
rumor:df_node_similarity,3,3,0.30000000000000004,2.0,2.3333333333333335,0.006194114685058594,0.3333333333333333,3.6666666666666665,1.0,6,39,5,3,51,0.6666666666666666,0.9285714285714286,0.5454545454545454,0.8823529411764706,0.6
jordan:leiden,3,3,0.30000000000000004,2.0,3.0,0.002485036849975586,3.0,11.333333333333334,2.0,0,33,34,9,51,0.0,0.7857142857142857,0.0,0.6470588235294118,0
jordan:df_node_similarity,3,3,0.30000000000000004,2.0,2.3333333333333335,0.004665056864420573,3.0,12.666666666666666,1.0,0,33,38,9,51,0.0,0.7857142857142857,0.0,0.6470588235294118,0
netsleuth-cm:leiden,3,3,0.30000000000000004,2.0,3.0,0.003460963567097982,2.3333333333333335,4.333333333333333,2.0,2,35,11,7,51,0.2222222222222222,0.8333333333333334,0.15384615384615385,0.7254901960784313,0.18181818181818185
netsleuth-cm:df_node_similarity,3,3,0.30000000000000004,2.0,2.3333333333333335,0.005332628885904948,0.6666666666666666,2.6666666666666665,1.0,1,34,7,8,51,0.1111111111111111,0.8095238095238095,0.125,0.6862745098039216,0.11764705882352941
ensemble:leiden,3,3,0.30000000000000004,2.0,3.0,0.009599924087524414,2.3333333333333335,6.333333333333333,2.0,2,35,17,7,51,0.2222222222222222,0.8333333333333334,0.10526315789473684,0.7254901960784313,0.14285714285714285
ensemble:df_node_similarity,3,3,0.30000000000000004,2.0,2.3333333333333335,0.018952608108520508,2.0,4.0,1.0,3,36,9,6,51,0.3333333333333333,0.8571428571428571,0.25,0.7647058823529411,0.28571428571428575
ensemble-centralities:leiden,3,3,0.30000000000000004,2.0,3.0,0.004494984944661458,1.0,4.0,2.0,7,40,5,2,51,0.7777777777777778,0.9523809523809523,0.5833333333333334,0.9215686274509803,0.6666666666666666
