type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
jordan:walktrap,2,9.666666666666666,1,42,6,5,53,0.16666666666666666,0.8936170212765957,0.14285714285714285,0.8113207547169812,0.15384615384615383
jordan:spectral,2,10.0,0,41,6,6,53,0.0,0.8723404255319149,0.0,0.7735849056603774,0
netsleuth:louvain,2,2.0,0,41,8,6,53,0.0,0.8723404255319149,0.0,0.7735849056603774,0
netsleuth:leiden,2,2.0,0,41,8,6,53,0.0,0.8723404255319149,0.0,0.7735849056603774,0
netsleuth:label_propagation,2,1.3333333333333333,0,41,5,6,53,0.0,0.8723404255319149,0.0,0.7735849056603774,0
netsleuth:greedy_modularity,2,2.0,0,41,7,6,53,0.0,0.8723404255319149,0.0,0.7735849056603774,0
netsleuth:eigenvector,2,2.0,0,41,7,6,53,0.0,0.8723404255319149,0.0,0.7735849056603774,0
netsleuth:infomap,2,1.3333333333333333,0,41,5,6,53,0.0,0.8723404255319149,0.0,0.7735849056603774,0
netsleuth:markov_clustering,2,3.0,0,41,6,6,53,0.0,0.8723404255319149,0.0,0.7735849056603774,0
netsleuth:paris,2,3.0,0,41,6,6,53,0.0,0.8723404255319149,0.0,0.7735849056603774,0
netsleuth:surprise_communities,2,2.0,0,41,18,6,53,0.0,0.8723404255319149,0.0,0.7735849056603774,0
netsleuth:walktrap,2,2.0,0,41,7,6,53,0.0,0.8723404255319149,0.0,0.7735849056603774,0
netsleuth:spectral,2,2.0,0,41,6,6,53,0.0,0.8723404255319149,0.0,0.7735849056603774,0
centrality:betweenness,3,0.6666666666666666,7,46,2,2,57,0.7777777777777778,0.9583333333333334,0.7777777777777778,0.9298245614035088,0.7777777777777778
unbiased:betweenness,3,1.6666666666666667,5,44,4,4,57,0.5555555555555556,0.9166666666666666,0.5555555555555556,0.8596491228070176,0.5555555555555556
centrality-cm:betweenness:louvain,3,0.3333333333333333,6,45,1,3,57,0.6666666666666666,0.9375,0.8571428571428571,0.8947368421052632,0.75
centrality-cm:betweenness:leiden,3,1.0,5,44,3,4,57,0.5555555555555556,0.9166666666666666,0.625,0.8596491228070176,0.5882352941176471
centrality-cm:betweenness:label_propagation,3,0.0,5,44,0,4,57,0.5555555555555556,0.9166666666666666,1.0,0.8596491228070176,0.7142857142857143
centrality-cm:betweenness:greedy_modularity,3,1.0,5,44,3,4,57,0.5555555555555556,0.9166666666666666,0.625,0.8596491228070176,0.5882352941176471
centrality-cm:betweenness:eigenvector,3,0.3333333333333333,6,45,1,3,57,0.6666666666666666,0.9375,0.8571428571428571,0.8947368421052632,0.75
centrality-cm:betweenness:infomap,3,0.0,5,44,1,4,57,0.5555555555555556,0.9166666666666666,0.8333333333333334,0.8596491228070176,0.6666666666666667
centrality-cm:betweenness:markov_clustering,3,0.0,2,41,3,7,57,0.2222222222222222,0.8541666666666666,0.4,0.7543859649122807,0.2857142857142857
centrality-cm:betweenness:paris,3,0.0,3,42,3,6,57,0.3333333333333333,0.875,0.5,0.7894736842105263,0.4
centrality-cm:betweenness:surprise_communities,3,0.6666666666666666,6,45,8,3,57,0.6666666666666666,0.9375,0.42857142857142855,0.8947368421052632,0.5217391304347826
centrality-cm:betweenness:walktrap,3,0.0,6,45,0,3,57,0.6666666666666666,0.9375,1.0,0.8947368421052632,0.8
centrality-cm:betweenness:spectral,3,0.0,7,46,0,2,57,0.7777777777777778,0.9583333333333334,1.0,0.9298245614035088,0.8750000000000001
unbiased-cm:betweenness:louvain,3,1.0,6,45,2,3,57,0.6666666666666666,0.9375,0.75,0.8947368421052632,0.7058823529411765
unbiased-cm:betweenness:leiden,3,1.0,5,44,3,4,57,0.5555555555555556,0.9166666666666666,0.625,0.8596491228070176,0.5882352941176471
unbiased-cm:betweenness:label_propagation,3,0.0,5,44,0,4,57,0.5555555555555556,0.9166666666666666,1.0,0.8596491228070176,0.7142857142857143
unbiased-cm:betweenness:greedy_modularity,3,1.0,5,44,3,4,57,0.5555555555555556,0.9166666666666666,0.625,0.8596491228070176,0.5882352941176471
unbiased-cm:betweenness:eigenvector,3,0.3333333333333333,6,45,1,3,57,0.6666666666666666,0.9375,0.8571428571428571,0.8947368421052632,0.75
unbiased-cm:betweenness:infomap,3,0.0,5,44,1,4,57,0.5555555555555556,0.9166666666666666,0.8333333333333334,0.8596491228070176,0.6666666666666667
unbiased-cm:betweenness:markov_clustering,3,0.0,2,41,3,7,57,0.2222222222222222,0.8541666666666666,0.4,0.7543859649122807,0.2857142857142857
unbiased-cm:betweenness:paris,3,0.0,3,42,3,6,57,0.3333333333333333,0.875,0.5,0.7894736842105263,0.4
unbiased-cm:betweenness:surprise_communities,3,1.3333333333333333,6,45,10,3,57,0.6666666666666666,0.9375,0.375,0.8947368421052632,0.4800000000000001
unbiased-cm:betweenness:walktrap,3,0.0,6,45,0,3,57,0.6666666666666666,0.9375,1.0,0.8947368421052632,0.8
unbiased-cm:betweenness:spectral,3,0.0,7,46,0,2,57,0.7777777777777778,0.9583333333333334,1.0,0.9298245614035088,0.8750000000000001
rumor:louvain,3,1.3333333333333333,5,44,3,4,57,0.5555555555555556,0.9166666666666666,0.625,0.8596491228070176,0.5882352941176471
rumor:leiden,3,1.0,5,44,3,4,57,0.5555555555555556,0.9166666666666666,0.625,0.8596491228070176,0.5882352941176471
rumor:label_propagation,3,0.0,5,44,0,4,57,0.5555555555555556,0.9166666666666666,1.0,0.8596491228070176,0.7142857142857143
rumor:greedy_modularity,3,1.3333333333333333,5,44,3,4,57,0.5555555555555556,0.9166666666666666,0.625,0.8596491228070176,0.5882352941176471
rumor:eigenvector,3,0.3333333333333333,6,45,1,3,57,0.6666666666666666,0.9375,0.8571428571428571,0.8947368421052632,0.75
rumor:infomap,3,0.0,5,44,1,4,57,0.5555555555555556,0.9166666666666666,0.8333333333333334,0.8596491228070176,0.6666666666666667
rumor:markov_clustering,3,0.0,2,41,3,7,57,0.2222222222222222,0.8541666666666666,0.4,0.7543859649122807,0.2857142857142857
rumor:paris,3,0.0,3,42,3,6,57,0.3333333333333333,0.875,0.5,0.7894736842105263,0.4
rumor:surprise_communities,3,1.6666666666666667,5,44,11,4,57,0.5555555555555556,0.9166666666666666,0.3125,0.8596491228070176,0.39999999999999997
rumor:walktrap,3,0.0,5,44,1,4,57,0.5555555555555556,0.9166666666666666,0.8333333333333334,0.8596491228070176,0.6666666666666667
rumor:spectral,3,0.0,7,46,0,2,57,0.7777777777777778,0.9583333333333334,1.0,0.9298245614035088,0.8750000000000001
jordan:louvain,3,24.666666666666668,2,41,6,7,57,0.2222222222222222,0.8541666666666666,0.25,0.7543859649122807,0.23529411764705882
jordan:leiden,3,24.666666666666668,2,41,6,7,57,0.2222222222222222,0.8541666666666666,0.25,0.7543859649122807,0.23529411764705882
jordan:label_propagation,3,24.0,0,39,5,9,57,0.0,0.8125,0.0,0.6842105263157895,0
jordan:greedy_modularity,3,24.666666666666668,2,41,6,7,57,0.2222222222222222,0.8541666666666666,0.25,0.7543859649122807,0.23529411764705882
jordan:eigenvector,3,31.0,1,40,6,8,57,0.1111111111111111,0.8333333333333334,0.14285714285714285,0.7192982456140351,0.125
jordan:infomap,3,31.0,0,39,6,9,57,0.0,0.8125,0.0,0.6842105263157895,0
jordan:markov_clustering,3,12.0,2,41,3,7,57,0.2222222222222222,0.8541666666666666,0.4,0.7543859649122807,0.2857142857142857
jordan:paris,3,12.0,3,42,3,6,57,0.3333333333333333,0.875,0.5,0.7894736842105263,0.4
jordan:surprise_communities,3,24.0,4,43,7,5,57,0.4444444444444444,0.8958333333333334,0.36363636363636365,0.8245614035087719,0.39999999999999997
jordan:walktrap,3,31.0,0,39,6,9,57,0.0,0.8125,0.0,0.6842105263157895,0
jordan:spectral,3,24.333333333333332,2,41,5,7,57,0.2222222222222222,0.8541666666666666,0.2857142857142857,0.7543859649122807,0.25
netsleuth:louvain,3,1.0,0,39,7,9,57,0.0,0.8125,0.0,0.6842105263157895,0
netsleuth:leiden,3,2.0,0,39,8,9,57,0.0,0.8125,0.0,0.6842105263157895,0
netsleuth:label_propagation,3,0.0,0,39,5,9,57,0.0,0.8125,0.0,0.6842105263157895,0
netsleuth:greedy_modularity,3,2.0,0,39,8,9,57,0.0,0.8125,0.0,0.6842105263157895,0
netsleuth:eigenvector,3,1.0,0,39,7,9,57,0.0,0.8125,0.0,0.6842105263157895,0
netsleuth:infomap,3,0.0,0,39,6,9,57,0.0,0.8125,0.0,0.6842105263157895,0
netsleuth:markov_clustering,3,0.0,1,40,4,8,57,0.1111111111111111,0.8333333333333334,0.2,0.7192982456140351,0.14285714285714285
netsleuth:paris,3,0.0,0,39,6,9,57,0.0,0.8125,0.0,0.6842105263157895,0
netsleuth:surprise_communities,3,2.0,0,39,14,9,57,0.0,0.8125,0.0,0.6842105263157895,0
netsleuth:walktrap,3,0.0,0,39,6,9,57,0.0,0.8125,0.0,0.6842105263157895,0
netsleuth:spectral,3,1.3333333333333333,0,39,7,9,57,0.0,0.8125,0.0,0.6842105263157895,0
centrality:betweenness,4,0.0,12,49,0,0,61,1.0,1.0,1.0,1.0,1.0
unbiased:betweenness,4,0.6666666666666666,10,47,2,2,61,0.8333333333333334,0.9591836734693877,0.8333333333333334,0.9344262295081968,0.8333333333333334
centrality-cm:betweenness:louvain,4,0.0,8,45,1,4,61,0.6666666666666666,0.9183673469387755,0.8888888888888888,0.8688524590163934,0.761904761904762
centrality-cm:betweenness:leiden,4,0.0,8,45,1,4,61,0.6666666666666666,0.9183673469387755,0.8888888888888888,0.8688524590163934,0.761904761904762
centrality-cm:betweenness:label_propagation,4,0.0,3,40,1,9,61,0.25,0.8163265306122449,0.75,0.7049180327868853,0.375
centrality-cm:betweenness:greedy_modularity,4,0.0,8,45,1,4,61,0.6666666666666666,0.9183673469387755,0.8888888888888888,0.8688524590163934,0.761904761904762
centrality-cm:betweenness:eigenvector,4,0.0,6,43,2,6,61,0.5,0.8775510204081632,0.75,0.8032786885245902,0.6
centrality-cm:betweenness:infomap,4,0.0,5,42,1,7,61,0.4166666666666667,0.8571428571428571,0.8333333333333334,0.7704918032786885,0.5555555555555556
centrality-cm:betweenness:markov_clustering,4,0.0,5,42,0,7,61,0.4166666666666667,0.8571428571428571,1.0,0.7704918032786885,0.5882352941176471
centrality-cm:betweenness:paris,4,0.0,4,41,3,8,61,0.3333333333333333,0.8367346938775511,0.5714285714285714,0.7377049180327869,0.4210526315789474
centrality-cm:betweenness:surprise_communities,4,2.0,6,43,13,6,61,0.5,0.8775510204081632,0.3157894736842105,0.8032786885245902,0.3870967741935484
centrality-cm:betweenness:walktrap,4,1.0,7,44,2,5,61,0.5833333333333334,0.8979591836734694,0.7777777777777778,0.8360655737704918,0.6666666666666666
centrality-cm:betweenness:spectral,4,0.0,6,43,0,6,61,0.5,0.8775510204081632,1.0,0.8032786885245902,0.6666666666666666
unbiased-cm:betweenness:louvain,4,0.0,8,45,1,4,61,0.6666666666666666,0.9183673469387755,0.8888888888888888,0.8688524590163934,0.761904761904762
unbiased-cm:betweenness:leiden,4,0.0,7,44,2,5,61,0.5833333333333334,0.8979591836734694,0.7777777777777778,0.8360655737704918,0.6666666666666666
unbiased-cm:betweenness:label_propagation,4,0.0,3,40,1,9,61,0.25,0.8163265306122449,0.75,0.7049180327868853,0.375
unbiased-cm:betweenness:greedy_modularity,4,0.0,8,45,1,4,61,0.6666666666666666,0.9183673469387755,0.8888888888888888,0.8688524590163934,0.761904761904762
unbiased-cm:betweenness:eigenvector,4,0.0,6,43,2,6,61,0.5,0.8775510204081632,0.75,0.8032786885245902,0.6
unbiased-cm:betweenness:infomap,4,0.0,4,41,2,8,61,0.3333333333333333,0.8367346938775511,0.6666666666666666,0.7377049180327869,0.4444444444444444
