type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
rumor:infomap,7,0.0,4,71,9,17,109,0.19047619047619047,0.8068181818181818,0.3076923076923077,0.6880733944954128,0.23529411764705882
rumor:markov_clustering,7,3.6666666666666665,7,74,12,14,109,0.3333333333333333,0.8409090909090909,0.3684210526315789,0.7431192660550459,0.35
rumor:surprise_communities,7,6.666666666666667,3,70,25,18,109,0.14285714285714285,0.7954545454545454,0.10714285714285714,0.6697247706422018,0.12244897959183672
rumor:walktrap,7,0.0,1,68,13,20,109,0.047619047619047616,0.7727272727272727,0.07142857142857142,0.6330275229357798,0.057142857142857134
rumor:spectral,7,0.0,3,70,3,18,109,0.14285714285714285,0.7954545454545454,0.5,0.6697247706422018,0.22222222222222224
jordan:louvain,7,86.33333333333333,3,70,10,18,109,0.14285714285714285,0.7954545454545454,0.23076923076923078,0.6697247706422018,0.17647058823529413
jordan:leiden,7,86.33333333333333,2,69,11,19,109,0.09523809523809523,0.7840909090909091,0.15384615384615385,0.6513761467889908,0.11764705882352941
jordan:label_propagation,7,48.666666666666664,2,69,11,19,109,0.09523809523809523,0.7840909090909091,0.15384615384615385,0.6513761467889908,0.11764705882352941
jordan:greedy_modularity,7,63.666666666666664,1,68,11,20,109,0.047619047619047616,0.7727272727272727,0.08333333333333333,0.6330275229357798,0.060606060606060615
jordan:eigenvector,7,66.0,1,68,13,20,109,0.047619047619047616,0.7727272727272727,0.07142857142857142,0.6330275229357798,0.057142857142857134
jordan:infomap,7,86.33333333333333,3,70,10,18,109,0.14285714285714285,0.7954545454545454,0.23076923076923078,0.6697247706422018,0.17647058823529413
jordan:markov_clustering,7,15.0,6,73,12,15,109,0.2857142857142857,0.8295454545454546,0.3333333333333333,0.7247706422018348,0.30769230769230765
jordan:paris,7,0.0,0,67,3,21,109,0.0,0.7613636363636364,0.0,0.6146788990825688,0
jordan:surprise_communities,7,7.0,8,75,19,13,109,0.38095238095238093,0.8522727272727273,0.2962962962962963,0.7614678899082569,0.3333333333333333
jordan:walktrap,7,76.66666666666667,4,71,10,17,109,0.19047619047619047,0.8068181818181818,0.2857142857142857,0.6880733944954128,0.22857142857142854
jordan:spectral,7,32.333333333333336,0,67,6,21,109,0.0,0.7613636363636364,0.0,0.6146788990825688,0
netsleuth:louvain,7,0.0,1,68,12,20,109,0.047619047619047616,0.7727272727272727,0.07692307692307693,0.6330275229357798,0.058823529411764705
netsleuth:leiden,7,0.0,3,70,10,18,109,0.14285714285714285,0.7954545454545454,0.23076923076923078,0.6697247706422018,0.17647058823529413
netsleuth:label_propagation,7,0.0,3,70,10,18,109,0.14285714285714285,0.7954545454545454,0.23076923076923078,0.6697247706422018,0.17647058823529413
netsleuth:greedy_modularity,7,0.0,0,67,12,21,109,0.0,0.7613636363636364,0.0,0.6146788990825688,0
netsleuth:eigenvector,7,0.0,1,68,13,20,109,0.047619047619047616,0.7727272727272727,0.07142857142857142,0.6330275229357798,0.057142857142857134
netsleuth:infomap,7,0.0,2,69,11,19,109,0.09523809523809523,0.7840909090909091,0.15384615384615385,0.6513761467889908,0.11764705882352941
netsleuth:markov_clustering,7,4.666666666666667,4,71,15,17,109,0.19047619047619047,0.8068181818181818,0.21052631578947367,0.6880733944954128,0.2
netsleuth:surprise_communities,7,6.666666666666667,4,71,26,17,109,0.19047619047619047,0.8068181818181818,0.13333333333333333,0.6880733944954128,0.1568627450980392
netsleuth:walktrap,7,0.0,1,68,13,20,109,0.047619047619047616,0.7727272727272727,0.07142857142857142,0.6330275229357798,0.057142857142857134
netsleuth:spectral,7,0.0,3,70,3,18,109,0.14285714285714285,0.7954545454545454,0.5,0.6697247706422018,0.22222222222222224
