type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
jordan:infomap,5,0.0,3,1165,0,12,1192,0.2,0.989804587935429,1.0,0.9798657718120806,0.33333333333333337
jordan:markov_clustering,5,0.0,15,1177,76,0,1192,1.0,1.0,0.16483516483516483,1.0,0.2830188679245283
jordan:paris,5,0.3333333333333333,14,1176,33,1,1192,0.9333333333333333,0.9991503823279524,0.2978723404255319,0.9983221476510067,0.4516129032258065
jordan:surprise_communities,5,0.6666666666666666,13,1175,170,2,1192,0.8666666666666667,0.9983007646559049,0.07103825136612021,0.9966442953020134,0.13131313131313133
jordan:walktrap,5,1.6666666666666667,10,1172,104,5,1192,0.6666666666666666,0.9957519116397621,0.08771929824561403,0.9916107382550335,0.15503875968992248
netsleuth:louvain,5,6.0,0,1162,32,15,1192,0.0,0.9872557349192863,0.0,0.9748322147651006,0
netsleuth:leiden,5,6.333333333333333,0,1162,28,15,1192,0.0,0.9872557349192863,0.0,0.9748322147651006,0
netsleuth:label_propagation,5,0.0,0,1162,3,15,1192,0.0,0.9872557349192863,0.0,0.9748322147651006,0
netsleuth:greedy_modularity,5,5.666666666666667,0,1162,25,15,1192,0.0,0.9872557349192863,0.0,0.9748322147651006,0
netsleuth:eigenvector,5,5.333333333333333,1,1163,32,14,1192,0.06666666666666667,0.9881053525913339,0.030303030303030304,0.9765100671140939,0.041666666666666664
netsleuth:infomap,5,0.0,0,1162,3,15,1192,0.0,0.9872557349192863,0.0,0.9748322147651006,0
netsleuth:paris,5,4.333333333333333,2,1164,86,13,1192,0.13333333333333333,0.9889549702633815,0.022727272727272728,0.9781879194630873,0.038834951456310676
netsleuth:surprise_communities,5,4.666666666666667,1,1163,237,14,1192,0.06666666666666667,0.9881053525913339,0.004201680672268907,0.9765100671140939,0.007905138339920948
netsleuth:walktrap,5,5.333333333333333,1,1163,134,14,1192,0.06666666666666667,0.9881053525913339,0.007407407407407408,0.9765100671140939,0.013333333333333334
rumor:spectral,5,0.0,1,385,1,4,394,0.2,0.9897172236503856,0.5,0.9796954314720813,0.28571428571428575
centrality:betweenness,50,5.666666666666667,141,1149,9,9,1308,0.94,0.9922279792746114,0.94,0.9862385321100917,0.94
unbiased:betweenness,50,11.333333333333334,132,1140,18,18,1308,0.88,0.9844559585492227,0.88,0.9724770642201835,0.88
centrality-cm:betweenness:louvain,50,0.0,28,1036,1,122,1308,0.18666666666666668,0.8946459412780656,0.9655172413793104,0.8134556574923547,0.3128491620111732
centrality-cm:betweenness:leiden,50,0.0,27,1035,1,123,1308,0.18,0.8937823834196891,0.9642857142857143,0.8119266055045872,0.3033707865168539
centrality-cm:betweenness:label_propagation,50,0.0,3,1011,0,147,1308,0.02,0.8730569948186528,1.0,0.7752293577981652,0.0392156862745098
centrality-cm:betweenness:greedy_modularity,50,0.0,19,1027,7,131,1308,0.12666666666666668,0.886873920552677,0.7307692307692307,0.7996941896024465,0.2159090909090909
centrality-cm:betweenness:eigenvector,50,0.0,27,1035,6,123,1308,0.18,0.8937823834196891,0.8181818181818182,0.8119266055045872,0.29508196721311475
centrality-cm:betweenness:infomap,50,0.0,3,1011,0,147,1308,0.02,0.8730569948186528,1.0,0.7752293577981652,0.0392156862745098
centrality-cm:betweenness:paris,50,0.0,31,1039,26,119,1308,0.20666666666666667,0.8972366148531952,0.543859649122807,0.8180428134556575,0.2995169082125604
centrality-cm:betweenness:surprise_communities,50,32.666666666666664,58,1066,185,92,1308,0.38666666666666666,0.9205526770293609,0.23868312757201646,0.8593272171253823,0.29516539440203565
centrality-cm:betweenness:walktrap,50,0.0,14,1022,76,136,1308,0.09333333333333334,0.8825561312607945,0.15555555555555556,0.7920489296636085,0.11666666666666667
unbiased-cm:betweenness:louvain,50,0.0,23,1031,7,127,1308,0.15333333333333332,0.8903281519861831,0.7666666666666667,0.8058103975535168,0.25555555555555554
unbiased-cm:betweenness:leiden,50,0.0,28,1036,3,122,1308,0.18666666666666668,0.8946459412780656,0.9032258064516129,0.8134556574923547,0.3093922651933702
unbiased-cm:betweenness:label_propagation,50,0.0,3,1011,0,147,1308,0.02,0.8730569948186528,1.0,0.7752293577981652,0.0392156862745098
unbiased-cm:betweenness:greedy_modularity,50,0.0,16,1024,10,134,1308,0.10666666666666667,0.8842832469775475,0.6153846153846154,0.7951070336391437,0.18181818181818185
unbiased-cm:betweenness:eigenvector,50,0.0,22,1030,11,128,1308,0.14666666666666667,0.8894645941278065,0.6666666666666666,0.8042813455657493,0.24043715846994537
unbiased-cm:betweenness:infomap,50,0.0,3,1011,0,147,1308,0.02,0.8730569948186528,1.0,0.7752293577981652,0.0392156862745098
unbiased-cm:betweenness:paris,50,0.0,28,1036,29,122,1308,0.18666666666666668,0.8946459412780656,0.49122807017543857,0.8134556574923547,0.2705314009661836
unbiased-cm:betweenness:surprise_communities,50,32.333333333333336,60,1068,174,90,1308,0.4,0.9222797927461139,0.2564102564102564,0.8623853211009175,0.3125
unbiased-cm:betweenness:walktrap,50,0.0,9,1017,81,141,1308,0.06,0.8782383419689119,0.1,0.7844036697247706,0.075
rumor:louvain,50,0.0,26,1034,6,124,1308,0.17333333333333334,0.8929188255613126,0.8125,0.8103975535168195,0.2857142857142857
