neighbors_probability,node_on_path,degree,infected
1.0,0.6111111111111112,0.009009009009009009,1
0.9,0.5333333333333333,0.01001001001001001,1
0.9090909090909091,0.6363636363636364,0.011011011011011011,1
0.7,0.6666666666666666,0.01001001001001001,1
0.7272727272727273,0.7636363636363637,0.011011011011011011,1
0.5714285714285714,0.6666666666666666,0.007007007007007007,1
0.8,0.5111111111111111,0.01001001001001001,0
0.9,0.6,0.01001001001001001,1
0.75,0.6071428571428571,0.008008008008008008,1
0.75,0.8571428571428571,0.008008008008008008,1
0.875,0.6071428571428571,0.008008008008008008,1
0.6666666666666666,0.7272727272727273,0.012012012012012012,1
0.7142857142857143,0.7142857142857143,0.007007007007007007,1
0.75,0.4642857142857143,0.008008008008008008,1
0.7777777777777778,0.25,0.009009009009009009,0
0.9,0.26666666666666666,0.01001001001001001,1
0.5,0.5,0.008008008008008008,0
0.9,0.2,0.01001001001001001,0
0.9,0.4444444444444444,0.01001001001001001,1
0.7692307692307693,0.7692307692307693,0.013013013013013013,1
0.5454545454545454,0.8363636363636363,0.011011011011011011,1
0.625,0.7857142857142857,0.008008008008008008,0
